# zmin,zmax, thetamin,thetamax, lambdamin,lambdamax, timemin,timemax, wxmin,wxmax, wzmin,wzmax, val,relerr
16.4,17.6, 59,59.5, 0,0.1, 0,0.1, 0.8,0.85, 0.03,0.05, 1.20395e+19,3.48292
17.6,18.8, 58,58.5, 0,0.1, 0,0.1, 0.8,0.85, 0.03,0.05, 3.38808e+19,1.88822
12.8,14, 59,59.5, 0,0.1, 0,0.1, 0.8,0.85, 0.03,0.05, 2.74875e+18,9.02885
11.6,12.8, 59.5,60, 0,0.1, 0,0.1, 0.9,0.91, 0.01,0.03, 3.88965e+19,4.99893
16.4,17.6, 60.5,61, 0,0.1, 0,0.1, 0.9,0.91, 0.03,0.05, 2.23674e+19,5.5552
9.2,10.4, 57.5,58, 0,0.1, 0,0.1, 0.85,0.88, 0.03,0.05, 2.95451e+19,3.24949
9.2,10.4, 61,61.5, 0,0.1, 0,0.1, 0.9,0.91, 0.03,0.05, 3.07281e+19,4.84092
9.2,10.4, 59,59.5, 0,0.1, 0,0.1, 0.88,0.9, 0.03,0.05, 2.91178e+19,3.46094
10.4,11.6, 59.5,60, 0,0.1, 0,0.1, 0.88,0.9, 0.03,0.05, 1.60645e+19,5.52261
9.2,10.4, 60.5,61, 0,0.1, 0,0.1, 0.88,0.9, 0.01,0.03, 7.50742e+19,2.2962
17.6,18.8, 60,60.5, 0,0.1, 0,0.1, 0.85,0.88, 0.05,0.07, 4.05419e+18,6.93852
15.2,16.4, 60.5,61, 0,0.1, 0,0.1, 0.85,0.88, 0,0.01, 8.93836e+19,2.48873
10.4,11.6, 58.5,59, 0,0.1, 0,0.1, 0.8,0.85, 0,0.01, 4.64667e+19,2.43781
8,9.2, 59.5,60, 0,0.1, 0,0.1, 0.8,0.85, 0.05,0.07, 3.25333e+18,5.88587
10.4,11.6, 57,57.5, 0,0.1, 0,0.1, 0.8,0.85, 0.05,0.07, 2.19203e+18,9.61844
15.2,16.4, 61,61.5, 0,0.1, 0,0.1, 0.8,0.85, 0.03,0.05, 4.37504e+18,6.11788
10.4,11.6, 57,57.5, 0,0.1, 0,0.1, 0.75,0.8, 0,0.01, 2.01648e+19,3.27146
10.4,11.6, 59.5,60, 0,0.1, 0,0.1, 0.8,0.85, 0.01,0.03, 4.30655e+19,1.80669
11.6,12.8, 58,58.5, 0,0.1, 0,0.1, 0.8,0.85, 0.03,0.05, 4.88583e+18,6.02754
9.2,10.4, 57.5,58, 0,0.1, 0,0.1, 0.8,0.85, 0.01,0.03, 6.5902e+19,1.52763
12.8,14, 59,59.5, 0,0.1, 0,0.1, 0.8,0.85, 0.01,0.03, 2.55809e+19,2.40835
12.8,14, 58,58.5, 0,0.1, 0,0.1, 0.8,0.85, 0.03,0.05, 2.33417e+18,9.21485
17.6,18.8, 61,61.5, 0,0.1, 0,0.1, 0.85,0.88, 0.03,0.05, 4.29252e+19,2.72497
9.2,10.4, 58.5,59, 0,0.1, 0,0.1, 0.92,0.93, 0.03,0.05, 2.27003e+19,4.56062
15.2,16.4, 59,59.5, 1.1,1.2, 0.6,0.7, 0.8,0.85, 0.01,0.03, 1.82137e+18,6.03142
18.8,20, 59,59.5, 1.8,1.9, 1,1.1, 0.8,0.85, 0.03,0.05, 5.45657e+17,7.57869
18.8,20, 59,59.5, 1.2,1.3, 0.6,0.7, 0.8,0.85, 0.03,0.05, 1.58884e+18,6.00983
14,15.2, 58,58.5, 1,1.1, 0.6,0.7, 0.8,0.85, 0.01,0.03, 6.75616e+17,9.75836
17.6,18.8, 57.5,58, 1.3,1.4, 0.7,0.8, 0.8,0.85, 0.03,0.05, 7.91273e+17,7.57024
10.4,11.6, 58,58.5, 0.8,0.9, 0.4,0.5, 0.8,0.85, 0,0.01, 1.84189e+18,9.28058
8,9.2, 59.5,60, 0,0.1, 0,0.1, 0.85,0.88, 0.01,0.03, 3.34345e+19,2.93578
10.4,11.6, 57,57.5, 0,0.1, 0,0.1, 0.8,0.85, 0.03,0.05, 1.12456e+19,4.0328
16.4,17.6, 57.5,58, 0,0.1, 0,0.1, 0.8,0.85, 0.03,0.05, 1.43712e+19,3.41404
11.6,12.8, 59.5,60, 0,0.1, 0,0.1, 0.85,0.88, 0.03,0.05, 6.49789e+18,7.90806
9.2,10.4, 59,59.5, 0,0.1, 0,0.1, 0.85,0.88, 0.03,0.05, 2.94869e+19,2.79956
9.2,10.4, 58.5,59, 0,0.1, 0,0.1, 0.85,0.88, 0.01,0.03, 7.99293e+19,2.04506
14,15.2, 59.5,60, 2.6,2.8, 1.5,2, 0.85,0.88, 0.01,0.03, 7.64722e+16,9.29562
11.6,12.8, 60,60.5, 1.4,1.5, 0.8,0.9, 0.85,0.88, 0,0.01, 2.20204e+18,8.69624
15.2,16.4, 57,57.5, 0.9,1, 0.6,0.7, 0.8,0.85, 0.01,0.03, 6.46104e+17,8.75873
11.6,12.8, 58.5,59, 2.4,2.6, 1.3,1.4, 0.85,0.88, 0,0.01, 2.40555e+18,6.54407
15.2,16.4, 57,57.5, 2.2,2.4, 1.1,1.2, 0.8,0.85, 0.01,0.03, 6.28747e+17,7.76236
11.6,12.8, 59.5,60, 1.8,1.9, 0.9,1, 0.85,0.88, 0,0.01, 2.06257e+18,9.38658
18.8,20, 57.5,58, 1.1,1.2, 0.6,0.7, 0.8,0.85, 0.03,0.05, 1.98479e+18,5.66347
18.8,20, 60.5,61, 1.2,1.3, 0.7,0.8, 0.85,0.88, 0.03,0.05, 1.42211e+18,7.44014
11.6,12.8, 59,59.5, 1.2,1.3, 0.7,0.8, 0.85,0.88, 0,0.01, 1.52142e+18,9.86469
14,15.2, 59,59.5, 1.1,1.2, 0.6,0.7, 0.85,0.88, 0.01,0.03, 8.79751e+17,9.36748
18.8,20, 60,60.5, 1.1,1.2, 0.6,0.7, 0.88,0.9, 0.03,0.05, 1.62627e+18,8.85022
16.4,17.6, 59.5,60, 1.2,1.3, 0.6,0.7, 0.85,0.88, 0.01,0.03, 3.32539e+18,8.48952
15.2,16.4, 58.5,59, 1.4,1.5, 0.7,0.8, 0.85,0.88, 0.01,0.03, 1.25509e+18,9.59389
12.8,14, 58.5,59, 1.3,1.4, 0.6,0.7, 0.88,0.9, 0,0.01, 5.04662e+18,7.38251
17.6,18.8, 57,57.5, 1.3,1.4, 0.6,0.7, 0.85,0.88, 0.01,0.03, 1.32642e+18,9.83475
17.6,18.8, 58,58.5, 1,1.1, 0.5,0.6, 0.85,0.88, 0.01,0.03, 1.34557e+18,9.70496
17.6,18.8, 59.5,60, 1.1,1.2, 0.5,0.6, 0.88,0.9, 0.01,0.03, 2.12907e+18,9.87409
9.2,10.4, 60.5,61, 0,0.1, 0,0.1, 0.9,0.91, 0.03,0.05, 2.78219e+19,4.86745
17.6,18.8, 59,59.5, 0,0.1, 0,0.1, 0.88,0.9, 0.03,0.05, 4.1839e+19,2.91633
8,9.2, 60,60.5, 0,0.1, 0,0.1, 0.85,0.88, 0.03,0.05, 2.49826e+19,2.93207
15.2,16.4, 59,59.5, 1,1.1, 0.7,0.8, 0.8,0.85, 0.01,0.03, 7.05672e+17,8.018
16.4,17.6, 57.5,58, 1.1,1.2, 0.8,0.9, 0.8,0.85, 0.01,0.03, 6.54081e+17,8.30808
16.4,17.6, 61,61.5, 0.9,1, 0.7,0.8, 0.85,0.88, 0.01,0.03, 8.26336e+17,9.08265
11.6,12.8, 58.5,59, 1.3,1.4, 0.8,0.9, 0.8,0.85, 0.01,0.03, 5.73803e+17,8.36934
11.6,12.8, 58.5,59, 1.4,1.5, 0.9,1, 0.8,0.85, 0.01,0.03, 4.08611e+17,9.81707
17.6,18.8, 60.5,61, 1.2,1.3, 0.8,0.9, 0.85,0.88, 0.01,0.03, 9.49871e+17,8.62461
